Produktname,Kategorie,Unterkategorie,Preis_EUR,Startdatum,Enddatum,Supermarkt
Platt-pfirsiche Paraguayos 1-kg-Schale,Lebensmittel,Obst,2.49,2025-06-16,2025-06-21,Aldi
MEINE METZGEREI Hähnchen-Geschnetzeltes 400-g-Packung,Lebensmittel,Fleisch (Geflügel),3.79,2025-06-16,2025-06-21,Aldi
FRAU ANTJE Butter 250-g-Packung,Lebensmittel,Milchprodukte (Butter),1.99,2025-06-16,2025-06-21,Aldi
Pastis de Marseille 0.7-L-Flasche,Getränke,Spirituosen,7.99,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Salami 250-g-Packung,Lebensmittel,Fleisch (Wurstwaren),2.69,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Flammkuchen 255g oder 260g Packung,Lebensmittel,Fertiggerichte,1.99,2025-06-16,2025-06-21,Aldi
ROI DE TREFLE Le Crémeux 135g oder 150g Packung,Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Sandgebäck 350-g-Beutel,Lebensmittel,Backwaren (Gebäck),2.29,2025-06-16,2025-06-21,Aldi
Soft Ice Cones 540-ml-Packung,Lebensmittel,Speiseeis,1.79,2025-06-16,2025-06-21,Aldi
Eiskalte Kiste (517ml oder 592ml 11 bzw. 10 Stück Packung),Lebensmittel,Speiseeis,2.29,2025-06-16,2025-06-21,Aldi
Nuss-Nougat-Eis 470-ml-Becher,Lebensmittel,Speiseeis,2.49,2025-06-16,2025-06-21,Aldi
SunGold Kiwi Stück,Lebensmittel,Obst,0.66,2025-06-16,2025-06-21,Aldi
Mini-Rispentomaten 500-g-Schale,Lebensmittel,Gemüse (Tomaten),0.99,2025-06-16,2025-06-21,Aldi
Tafelbirnen 600-g-Schale,Lebensmittel,Obst,1.89,2025-06-16,2025-06-21,Aldi
Zucchini Lose Ware,Lebensmittel,Gemüse,1.39,2025-06-16,2025-06-21,Aldi
Spinat 125-g-Packung,Lebensmittel,Gemüse,1.19,2025-06-16,2025-06-21,Aldi
Tafeltrauben hell 500-g-Schale,Lebensmittel,Obst,1.49,2025-06-16,2025-06-21,Aldi
Plattpfirsiche Paraguayos 1-kg-Schale,Lebensmittel,Obst,2.49,2025-06-16,2025-06-21,Aldi
Kirschen Lose Ware,Lebensmittel,Obst,0.79,2025-06-16,2025-06-21,Aldi
GARDENLINE Lizenzrose Palace Pflanze im 21-cm-Kulturtopf,Garten,Pflanzen,6.99,2025-06-16,2025-06-21,Aldi
GARDENLINE Chrysanthemen Bund,Garten,Blumen,1.99,2025-06-16,2025-06-21,Aldi
MEINE METZGEREI Hähnchen-Geschnetzeltes 400-g-Packung,Lebensmittel,Fleisch (Geflügel),3.79,2025-06-16,2025-06-21,Aldi
MEINE METZGEREI Rinderhackfleisch 500-g-Packung,Lebensmittel,Fleisch (Rind),4.99,2025-06-16,2025-06-21,Aldi
MEINE METZGEREI Rindergulasch 500-g-Packung,Lebensmittel,Fleisch (Rind),5.99,2025-06-16,2025-06-21,Aldi
MEINE METZGEREI Schnitzel paniert XXL 900-g-Packung,Lebensmittel,Fleisch (Schnitzel),6.99,2025-06-16,2025-06-21,Aldi
FAIR & GUT Hähnchen-Grill-und-Ofenplatte 800-g-Packung,Lebensmittel,Fleisch (Geflügel),5.29,2025-06-16,2025-06-21,Aldi
GOLDEN SEAFOOD Kabeljau-Rückenfilet-portionen XXL 500-g-Packung,Lebensmittel,Fisch,8.99,2025-06-16,2025-06-21,Aldi
ARLA Buko 200-g-Packung,Lebensmittel,Milchprodukte (Frischkäse),0.95,2025-06-16,2025-06-21,Aldi
MEGGLE Rustikal-Baguette 160-g-Packung,Lebensmittel,Backwaren (Baguette),0.99,2025-06-16,2025-06-21,Aldi
ZOTT Mini-Mozzarellas 200-g-Becher,Lebensmittel,Milchprodukte (Käse),1.69,2025-06-16,2025-06-21,Aldi
HOFBURGER Butterkäse XXL 600-g-Packung,Lebensmittel,Milchprodukte (Käse),3.99,2025-06-16,2025-06-21,Aldi
GÜLDENHOF Geflügel-Mortadella XXL 240-g-Packung,Lebensmittel,Fleisch (Wurstwaren),1.19,2025-06-16,2025-06-21,Aldi
HERTA Knacki 210-g-Packung,Lebensmittel,Fleisch (Wurstwaren),1.49,2025-06-16,2025-06-21,Aldi
BÖRNER-EISENACHER Rostbratwurst/Krakauer 350g oder 400g Packung,Lebensmittel,Fleisch (Wurstwaren),3.29,2025-06-16,2025-06-21,Aldi
DANONE Activia 4x115-g-Packung,Lebensmittel,Milchprodukte (Joghurt),1.49,2025-06-16,2025-06-21,Aldi
LYTTOS Fruchtjoghurt griechischer Art 4x150-g-Packung,Lebensmittel,Milchprodukte (Joghurt),1.49,2025-06-16,2025-06-21,Aldi
MILSANI Milchmäuse-Pudding 6x50-g-Packung,Lebensmittel,Desserts (Pudding),0.99,2025-06-16,2025-06-21,Aldi
IGLO Filegro XXL (480g oder 500g Packung),Lebensmittel,Tiefkühl (Fisch),3.99,2025-06-16,2025-06-21,Aldi
SPEISEZEIT Brühe 340-ml-Glas,Lebensmittel,Suppen & Brühen,1.39,2025-06-16,2025-06-21,Aldi
KING'S CROWN Paprika 580-ml-Glas (Abtropfgewicht 310g),Lebensmittel,Konserven (Gemüse),1.49,2025-06-16,2025-06-21,Aldi
KING'S CROWN Hülsenfrüchte (3x185-g-Packung),Lebensmittel,Hülsenfrüchte (Konserve),1.69,2025-06-16,2025-06-21,Aldi
Krakauer 350-g-Packung,Lebensmittel,Fleisch (Wurstwaren),3.49,2025-06-16,2025-06-21,Aldi
LANDLIEBE Haltbare Landmilch 1-L-Packung,Lebensmittel,Milchprodukte,0.99,2025-06-16,2025-06-21,Aldi
BISCOTTO Spritzgebäck 300-g-Packung,Lebensmittel,Backwaren (Gebäck),1.79,2025-06-16,2025-06-21,Aldi
NESTLE Pirulo Kaktus Box/Eis-Hits (495ml oder 520ml 8 bzw. 10 Stück Packung),Lebensmittel,Speiseeis,2.99,2025-06-16,2025-06-21,Aldi
LANGNESE Magnum Stieleis (770ml oder 800ml je 8 Stück Packung),Lebensmittel,Speiseeis,3.99,2025-06-16,2025-06-21,Aldi
COPPENRATH & WIESE Kuchenliebe (740g oder 900g Packung),Lebensmittel,Backwaren (Kuchen),4.99,2025-06-16,2025-06-21,Aldi
BISCOTTO Rainbow Cookies 150-g-Packung,Lebensmittel,Backwaren,1.29,2025-06-16,2025-06-21,Aldi
MARS m&m's 128g oder 150g Packung,Lebensmittel,Süßwaren,1.69,2025-06-16,2025-06-21,Aldi
Knoppers Riegel je 5 Stück 200-g-Packung,Lebensmittel,Süßwaren,1.69,2025-06-16,2025-06-21,Aldi
Prinzenrolle Doppelkeks mit Schokoladencremefüllung 450-g-Packung (+50-g Gratis),Lebensmittel,Backwaren,1.69,2025-06-16,2025-06-21,Aldi
TRADER JOE'S Kuchenriegel 6x38-g-Packung,Lebensmittel,Backwaren,1.99,2025-06-16,2025-06-21,Aldi
MILKA Großtafel 250g/270g/276g/300g Packung,Lebensmittel,Schokolade,3.29,2025-06-16,2025-06-21,Aldi
nimm2 Lachgummi 200g/225g/250g/325g Beutel,Lebensmittel,Süßwaren,0.99,2025-06-16,2025-06-21,Aldi
BISCOTTO Dänisches Buttergebäck 750-g-Dose,Lebensmittel,Backwaren,4.99,2025-06-16,2025-06-21,Aldi
OREO/MILKA Crunchies/Mini-Cookies 110-g-Packung,Lebensmittel,Süßwaren,1.59,2025-06-16,2025-06-21,Aldi
TRADER JOE'S Cashews 150-g-Dose,Lebensmittel,Nüsse,1.69,2025-06-16,2025-06-21,Aldi
TUC Bake Rolls 150-g-Packung,Lebensmittel,Snacks,1.49,2025-06-16,2025-06-21,Aldi
FUNNY-FRISCH Pom-Bär 75-g-Beutel,Lebensmittel,Snacks,1.11,2025-06-16,2025-06-21,Aldi
RIVER Limo 0.33-L-Dose mit Fruchtfleisch und zzgl. Pfand 0.25,Getränke,Limonaden,0.49,2025-06-16,2025-06-21,Aldi
Coca-Cola 2-L-Flasche (teilweise koffeinhaltig zuckerfrei) zzgl. Pfand 0.25,Getränke,Limonaden,1.39,2025-06-16,2025-06-21,Aldi
RHEINFELS Mineralwasser 0.75-L-Flasche (teilweise mit Aroma) zzgl. Pfand 0.25,Getränke,Mineralwasser,0.49,2025-06-16,2025-06-21,Aldi
CAPRI-SUN Sirup 600-ml-Flasche,Getränke,Fruchtsäfte/Sirupe,2.99,2025-06-16,2025-06-21,Aldi
PFANNER Eistee 2-L-Packung,Getränke,Eistee,1.19,2025-06-16,2025-06-21,Aldi
RIO D'ORO Landfrucht-saft 1-L-Packung (100% Fruchtgehalt),Getränke,Fruchtsäfte,1.49,2025-06-16,2025-06-21,Aldi
ASTRA Kiezmische/Rakete 0.33-L-Dose zzgl. Pfand 0.25,Getränke,Bier,0.69,2025-06-16,2025-06-21,Aldi
RED BULL Energydrink 0.25-L-Dose zzgl. Pfand 0.25,Getränke,Energy Drinks,0.89,2025-06-16,2025-06-21,Aldi
Pinot Noir Rosé Pays d'Oc IGP 0.75-L-Flasche,Getränke,Wein (Rosé),2.69,2025-06-16,2025-06-21,Aldi
5 LABELS Merlot VdF 0.75-L-Flasche,Getränke,Wein (Rotwein),3.99,2025-06-16,2025-06-21,Aldi
TULLAMORE D.E.W. Irish Whiskey/Honey 0.7-L-Flasche (40% bzw. 35% Vol.),Getränke,Spirituosen,13.99,2025-06-16,2025-06-21,Aldi
FEBREZE Textilerfrischer 375-ml-Flasche,Haushalt & Hygiene,Raum-/Textilerfrischer,2.29,2025-06-16,2025-06-21,Aldi
FEBREZE Lufterfrischer (z. B. Bad-Lufterfrischer Duftstecker oder 2x185 ml Variante),Haushalt & Hygiene,Lufterfrischer,5.99,2025-06-16,2025-06-21,Aldi
PERWOLL Fein-waschmittel 1 35-L-Flasche (für 27 Anwendungen),Haushalt & Hygiene,Waschmittel,5.79,2025-06-16,2025-06-21,Aldi
PRIL Handgeschirrspülmittel 450-ml-Flasche,Haushalt & Hygiene,Spülmittel,1.59,2025-06-16,2025-06-21,Aldi
POWER FORCE Bio-Reiniger 750-ml-Flasche,Haushalt & Hygiene,Reiniger,1.49,2025-06-16,2025-06-21,Aldi
SAGROTAN Reiniger 750-ml-Flasche,Haushalt & Hygiene,Reiniger,2.79,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Lava-Kuchen 180-g-Packung,Lebensmittel,Backwaren,2.49,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Flammkuchen-schnecken 270-g-Packung (je 6 Stück),Lebensmittel,Backwaren,1.99,2025-06-16,2025-06-21,Aldi
MEINE KUCHENWELT Mini-Hefe-schnecken 300-g-Packung,Lebensmittel,Backwaren,1.59,2025-06-16,2025-06-21,Aldi
ROI DE TREFLE Frisch-käserolle 100-g-Packung,Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Zitronen-Baiser-Kuchen 475-g-Packung,Lebensmittel,Backwaren,2.99,2025-06-16,2025-06-21,Aldi
BARISSIMO French Roast 'Café Noir' 1-kg-Packung,Lebensmittel,Kaffee,11.99,2025-06-16,2025-06-21,Aldi
GOLDÄHREN Croissants 720g oder 810g Packung,Lebensmittel,Backwaren,3.49,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Konfitüre Extra 265-g-Glas,Lebensmittel,Aufstrich/Konfitüre,1.49,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Dijon-Senf 700-g-Glas,Lebensmittel,Aufstrich/Senf,1.99,2025-06-16,2025-06-21,Aldi
FRANTASTIQUE! Madeleines 250-g-Packung,Lebensmittel,Backwaren,1.49,2025-06-16,2025-06-21,Aldi
Französischer Käsegenuss 150g/170g/200g Packung,Lebensmittel,Käse,2.79,2025-06-16,2025-06-21,Aldi
LE RUSTIQUE Briespitze 200-g-Packung,Lebensmittel,Käse,2.69,2025-06-16,2025-06-21,Aldi
Munsterkäse 200-g-Packung,Lebensmittel,Käse,2.49,2025-06-16,2025-06-21,Aldi
ROI DE TREFLE Ziegenfrischkäse 4x30-g-Packung,Lebensmittel,Käse,2.79,2025-06-16,2025-06-21,Aldi
ROI DE TREFLE Le Petit Snack 180-g-Packung,Lebensmittel,Käse,1.99,2025-06-16,2025-06-21,Aldi
PUR POM Cidre 0.75-L-Flasche,Getränke,Cidre/Apfelwein,1.49,2025-06-16,2025-06-21,Aldi
